Barrio,Poblacion,Superficie,Densidad
Constitucion,44107,2.10,20973.41
Monserrat,39914,2.20,18159.14
Puerto Madero,6726,5.03,1338.40
Retiro,65413,4.53,14450.24
San Nicolas,29273,2.29,12784.95
San Telmo,20453,1.23,16601.43
Recoleta,157932,6.29,25100.49
Balvanera,138926,4.34,31991.01
San Cristobal,48611,2.04,23785.65
Barracas,89452,7.96,11240.81
Boca,45113,5.02,8981.30
Nueva Pompeya,42695,4.97,8588.16
Parque Patricios,40985,3.74,10947.73
Almagro,131699,4.05,32515.09
Boedo,47306,2.61,18126.47
Caballito,176076,6.85,25700.65
Flores,164310,8.59,19120.95
Parque Chacabuco,56281,3.83,14686.72
Villa Lugano,126374,9.29,13602.20
Villa Riachuelo,14084,4.27,3297.35
Villa Soldati,46779,8.73,5356.74
Liniers,44132,4.38,10086.89
Mataderos,64436,7.39,8713.77
Parque Avellaneda,53229,4.73,11243.22
Floresta,37575,2.32,16192.30
Monte Castro,33623,2.63,12796.67
Velez Sarsfield,35081,2.40,14612.46
Versalles,13822,1.40,9843.03
Villa Luro,32502,2.57,12662.94
Villa Real,13419,1.32,10165.89
Santa Rita,33325,2.15,15473.36
Villa del Parque ,55273,3.40,16256.67
Villa Devoto,66521,6.38,10434.65
Villa Gral. Mitre,34713,2.16,16053.94
Coghlan,18604,1.28,14534.69
Saavedra,50295,5.53,9088.61
Villa Pueyrredon,39654,3.30,12022.52
Villa Urquiza,91563,5.45,16803.39
Belgrano,126831,7.94,15977.78
Colegiales,52551,2.29,22950.22
Nuñez,51949,4.35,11943.13
Palermo,225970,15.78,14324.16
Agronomia,13912,2.12,6555.33
Chacarita,27761,3.12,8902.58
Parque Chas,17489,1.39,12626.81
Paternal,19717,2.23,8843.16
Villa Crespo,81959,3.61,22682.49
Villa Ortuzar,21736,1.85,11724.62